Campaigns sent,Emails sent,Delivery rate,Delivery rate growth rate,Open rate,Open rate growth rate,Open rate total,Click rate,Click rate growth rate,Click rate total,Unsubscribe rate,Unsubscribe rate growth rate,Unsubscribe rate total,Bounce rate,Bounce rate growth rate,Bounce rate total
DRAFT Ealing Learning Partnership - Get Started,Mon 31 Oct 2022,8,4,50,2,25,50,FALSE,Get Started as an Oracy Champion,14,9,2,1,0,
LW Jan 2023 Cohort - Keeping Warm,Mon 24 Oct 2022,4,3,75,1,25,33.33,FALSE,Voice 21: getting ready for January,13,4,1,0,0,
Opps call to register Jan 2023,Fri 21 Oct 2022,39,15,38.46,2,5.13,13.33,FALSE,What's your school's plan for oracy in 2023?,113,39,3,0,0,
Sept 22 Start Line Oracy Survey Reports,Fri 21 Oct 2022,381,324,85.04,295,77.43,91.05,FALSE,Your school’s Oracy Report,3898,383,1328,2,0,
Voice 21 Oracy Centres of Excellence Newsletter,Fri 21 Oct 2022,9,6,66.67,0,0,0,FALSE,Voice 21 Oracy Centres of Excellence Newsletter,24,9,0,0,0,
Oracy October-Where Next Follow Up,Fri 21 Oct 2022,201,132,65.67,60,29.85,45.45,FALSE,Oracy October- Where next for oracy webinar resources,413,207,130,6,0,
ONE OFF - Worcestershire LD - audit reminder,Thu 20 Oct 2022,2,1,50,1,50,100,FALSE,Actions to Complete before your Development Day,11,2,3,0,0,
Final Oracy Survey deadline reminder,Wed 19 Oct 2022,218,98,44.95,38,17.43,38.78,FALSE,Last chance to complete your Oracy Surveys and get your unique Oracy Report,1552,219,337,1,0,
Oracy October- Where next,Wed 19 Oct 2022,198,109,55.05,34,17.17,31.19,FALSE,Reminder: Oracy October- Where next for oracy?,376,203,56,5,0,
Oracy October- Maths Follow Up,Wed 19 Oct 2022,917,585,63.79,250,27.26,42.74,FALSE,Oracy October- Maths webinar resources,3007,937,610,20,0,
Talk on Tuesday: enabling opportunities for presentational talk,Tue 18 Oct 2022,2706,1282,47.38,653,24.13,50.94,FALSE,Talk on Tuesday: enabling opportunities for presentational talk,4767,2758,2865,52,2,
ONE OFF - North Liverpool Academy Oracy Survey,Mon 17 Oct 2022,2,2,100,2,100,100,FALSE,North Liverpool Academy Oracy Survey - Deadline Friday 11th November,4,2,4,0,0,
ONE OFF - London A - Get ready for your Development Day! - 18th Oct - DD1 2,Mon 17 Oct 2022,13,9,69.23,9,69.23,100,FALSE,Get ready for your Development Day!,53,13,38,0,0,
Oracy October- Maths reminder,Mon 17 Oct 2022,894,483,54.03,126,14.09,26.09,FALSE,Reminder: Oracy October- What does high-quality classroom talk look like in Maths?,1560,915,217,21,0,
Oracy October- Humanities Follow Up,Fri 14 Oct 2022,383,264,68.93,135,35.25,51.14,FALSE,Oracy October- Humanities webinar resources,1452,387,364,4,0,
Missed DD 7 day reminder from 11.10.22,Thu 13 Oct 2022,111,78,70.27,62,55.86,79.49,FALSE,Get ready for your Development Day!,628,114,232,3,0,
All missed Programme Launch recordings,Thu 13 Oct 2022,150,74,49.33,29,19.33,39.19,FALSE,Your Programme Launch recording,234,150,63,0,0,
Renewal to School Leads Spring 22,Wed 12 Oct 2022,282,118,41.84,51,18.09,43.22,FALSE,Continue to transform learning through talk in January 2023,622,297,226,15,0,
Oracy October- Humanities reminder,Wed 12 Oct 2022,356,225,63.2,110,30.9,48.89,FALSE,Reminder: Oracy October- What does high-quality classroom talk look like in Humanities?,633,360,194,4,0,
Oracy October- English Follow Up,Wed 12 Oct 2022,589,435,73.85,214,36.33,49.2,FALSE,Oracy October- English webinar resources,2316,607,578,18,0,
Talk on Tuesday: supporting EAL learners,Tue 11 Oct 2022,2543,903,35.51,179,7.04,19.82,FALSE,Talk on Tuesday: supporting EAL learners,5337,2587,346,44,0,
LW Jan 2023 Cohort - Keeping Warm,Tue 11 Oct 2022,3,0,0,0,0,0,FALSE,Voice 21: getting ready for January,0,3,0,0,0,
Oracy October- English reminder,Mon 10 Oct 2022,492,333,67.68,175,35.57,52.55,FALSE,Reminder: Oracy October- What does high-quality classroom talk look like in English?,1196,510,397,18,0,
Oracy October- Art Follow Up,Fri 07 Oct 2022,284,189,66.55,102,35.92,53.97,FALSE,Oracy October- Art webinar resources,1178,294,255,10,0,
ONE OFF - Leadership,Fri 07 Oct 2022,7,4,57.14,4,57.14,100,FALSE,Your upcoming Development Days,6,7,9,0,0,
Oracy October- Science Follow Up,Thu 06 Oct 2022,393,273,69.47,135,34.35,49.45,FALSE,Oracy October- Science webinar resources,2627,402,441,9,1,
ONE OFF - Cohort A - Get ready for your Development Day!,Wed 05 Oct 2022,134,97,72.39,70,52.24,72.16,FALSE,Get ready for your Development Day!,535,136,227,2,0,
ONE OFF - St Thomas More Catholic College Programme dates and resources,Wed 05 Oct 2022,2,1,50,1,50,100,FALSE,Voice 21 Curriculum Design - Programme dates and resources,1,2,1,0,0,
ONE OFF - York A Delta Extra Attendees DD1,Wed 05 Oct 2022,3,2,66.67,0,0,0,FALSE,Get ready for your Development Day!,3,3,0,0,0,
Oracy October- Art reminder,Wed 05 Oct 2022,244,162,66.39,66,27.05,40.74,FALSE,Reminder: Oracy October- What does high-quality classroom talk look like in Art?,516,252,115,8,0,
ONE OFF Get Started Hill Farm,Wed 05 Oct 2022,1,0,0,0,0,0,FALSE,Get Started as a School Lead,0,1,0,0,0,
ONE OFF - London A - Get ready for your Development Day! - 18th Oct - DD1 2,Wed 05 Oct 2022,10,5,50,1,10,20,FALSE,Your Development Day - Important: Changed Venue,24,10,1,0,0,
Oracy Association Follow Up 2,Wed 05 Oct 2022,167,107,64.07,3,1.8,2.8,FALSE,Oracy Association - next steps,329,170,3,3,0,
October TotM 2022,Wed 05 Oct 2022,3915,1223,31.24,249,6.36,20.36,FALSE,(Oracy) October is here!,3723,4016,412,101,2,
ONE OFF - London A - Get ready for your Development Day! - 6th Oct - Late Answers,Tue 04 Oct 2022,2,1,50,0,0,0,FALSE,Your Development Day - Important: Changed Venue,63,2,0,0,0,
Oracy October- Science,Tue 04 Oct 2022,395,288,72.91,174,44.05,60.42,FALSE,Reminder: Oracy October- What does high-quality classroom talk look like in Science?,1164,404,400,9,0,
Oracy Survey - 1st reminder,Tue 04 Oct 2022,622,370,59.49,209,33.6,56.49,FALSE,Complete your Oracy Surveys to get your unique Oracy Report,7402,630,2529,8,0,
Talk on Tuesday: promoting independent discussions,Tue 04 Oct 2022,2548,920,36.11,253,9.93,27.5,FALSE,Talk on Tuesday: promoting independent discussions,4966,2591,744,43,4,
ONE OFF - Unity College Programme Dates,Mon 03 Oct 2022,2,1,50,0,0,0,FALSE,Unity College Programme Dates,4,2,0,0,0,
ONE OFF - Frenchwood Community Primary Oracy Survey reminder,Mon 03 Oct 2022,1,1,100,1,100,100,FALSE,ONE OFF - Frenchwood Community Primary Oracy Survey reminder,1,1,3,0,0,
ONE-OFF - Oracy Survey Links - School Leads,Mon 03 Oct 2022,1,1,100,1,100,100,FALSE,It’s time to complete your oracy surveys!,11,1,9,0,0,
ONE OFF - London A - Get ready for your Development Day! - 6th Oct,Mon 03 Oct 2022,42,34,80.95,25,59.52,73.53,FALSE,Your Development Day - Important: Changed Venue,436,43,112,1,0,
ONE-OFF - Oracy Survey Links - School Leads,Mon 03 Oct 2022,1,1,100,1,100,100,FALSE,It’s time to complete your oracy surveys!,9,1,2,0,0,
LW Jan 2023 Cohort - Keeping Warm,Mon 03 Oct 2022,4,4,100,2,50,50,FALSE,Voice 21: getting ready for January,42,4,7,0,0,
LW OO Opps and Leads,Sun 02 Oct 2022,37,19,51.35,9,24.32,47.37,FALSE,Free resources for Oracy October!,157,38,43,1,0,
Fairness rescheduled,Fri 30 Sep 2022,2,2,100,1,50,50,FALSE,Your short course has been rescheduled,3,2,4,0,0,
ONE OFF DRAFT CohortA4 - Programme Launch recording (missed),Thu 29 Sep 2022,37,26,70.27,8,21.62,30.77,FALSE,Your Programme Launch recording,149,37,13,0,0,
ONE OFF DRAFT CohortA3 - Programme Launch recording (missed),Thu 29 Sep 2022,15,2,13.33,2,13.33,100,FALSE,Your Programme Launch recording,13,15,2,0,0,
Fairness' short course reschedule,Thu 29 Sep 2022,14,10,71.43,3,21.43,30,FALSE,Your short course has been rescheduled,32,14,3,0,0,
ONE OFF - Ark A/B - Get Started Update - OC,Thu 29 Sep 2022,49,11,22.45,5,10.2,45.45,FALSE,Get started as an Oracy Champion with Voice 21!,66,49,13,0,0,
IN DRAFT - Jan 22 - endline survey links,Wed 28 Sep 2022,250,119,47.6,64,25.6,53.78,FALSE,It’s time to complete your oracy surveys!,3582,254,767,4,0,
Talk on Tuesday: talking about Black History Month,Tue 27 Sep 2022,2544,946,37.19,256,10.06,27.06,FALSE,Talk on Tuesday: talking about Black History Month,4975,2591,932,47,1,
ONE OFF - Delta DD1 Reminder,Mon 26 Sep 2022,21,8,38.1,4,19.05,50,FALSE,Get ready for your Development Day!,52,22,5,1,0,
ONE OFF OLOL Oracy Survey Links - School Leads,Mon 26 Sep 2022,1,1,100,1,100,100,FALSE,It’s time to complete your oracy surveys!,1,1,1,0,0,
ONE OFF OLOL Get started - School Leads,Mon 26 Sep 2022,1,1,100,1,100,100,FALSE,Get started as a Voice 21 Oracy School!,1,1,1,0,0,
LW Jan 2023 Cohort - Keeping Warm,Mon 26 Sep 2022,5,3,60,2,40,66.67,FALSE,Voice 21: getting ready for January,13,5,10,0,0,
Talk on Tuesday: Oracy October (resent),Thu 22 Sep 2022,1,1,100,1,100,100,FALSE,Talk on Tuesday: Oracy October (resent),1,1,1,0,0,
Open Learning blast,Thu 22 Sep 2022,2453,1315,53.61,657,26.78,49.96,FALSE,Register for Open Learning!,7074,2518,4132,65,3,
Programme Launch follow-up - RISE MAT,Wed 21 Sep 2022,26,14,53.85,6,23.08,42.86,FALSE,Your Programme Launch next steps,25,26,6,0,0,
OCs added post 12th Sept Get Started email,Wed 21 Sep 2022,20,13,65,6,30,46.15,FALSE,Get started as an Oracy Champion with Voice 21!,29,20,12,0,0,
V21X Webinar Cancelled,Wed 21 Sep 2022,14,6,42.86,2,14.29,33.33,FALSE,Voice 21 Exchange Webinar cancelled,10,15,8,1,0,
Jan 23 - Last email sent in error,Wed 21 Sep 2022,16,11,68.75,1,6.25,9.09,FALSE,Last emails sent in error,123,17,1,1,0,
Our Lady of Lordes date confirmation,Wed 21 Sep 2022,28,16,57.14,3,10.71,18.75,FALSE,Get started as a Voice 21 Oracy School!,85,28,5,0,0,
LW Jan 2023 Cohort - Keeping Warm,Wed 21 Sep 2022,5,4,80,3,60,75,FALSE,Voice 21: getting ready for January,49,5,10,0,0,
ONE-OFF Worcestershire - Get Started OC LD,Tue 20 Sep 2022,8,4,50,3,37.5,75,FALSE,Get started as an Oracy Champion with Voice 21!,50,9,8,1,0,
IN DRAFT - Leigh Trust - OL invite,Tue 20 Sep 2022,12,6,50,0,0,0,FALSE,Get ready for your Open Learning event!,13,12,0,0,0,
Talk on Tuesday: Oracy October (resent),Tue 20 Sep 2022,2467,1108,44.91,492,19.94,44.4,FALSE,Talk on Tuesday: Oracy October (resent),4408,2516,1139,49,4,
Talk on Tuesday: Oracy October,Tue 20 Sep 2022,2466,1040,42.17,461,18.69,44.33,FALSE,Talk on Tuesday: Oracy October,3971,2571,1062,105,2,
Jan 22 - Last emails sent in error,Sat 17 Sep 2022,248,128,51.61,6,2.42,4.69,FALSE,Last emails sent in error,532,252,14,4,0,
ONE-OFF LDST Programme Launch reminder,Fri 16 Sep 2022,14,7,50,0,0,0,FALSE,Get ready for your programme launch!,21,14,0,0,0,
ONE OFF - Ark A/B - Get Started Update - School Leads,Fri 16 Sep 2022,30,13,43.33,2,6.67,15.38,FALSE,Ark A/B - Get Started Update - School Leads,35,30,10,0,0,
Oracy Association Follow Up,Fri 16 Sep 2022,167,120,71.86,41,24.55,34.17,FALSE,Thank you for attending the Oracy Association,896,170,228,3,0,
ONE-OFF Rosebank - Oracy Survey Links - School Leads,Fri 16 Sep 2022,3,1,33.33,1,33.33,100,FALSE,It’s time to complete your oracy surveys!,79,3,58,0,0,
Pembrokeshire - Oracy Survey Links - School Leads,Thu 15 Sep 2022,62,26,41.94,18,29.03,69.23,FALSE,It’s time to complete your oracy surveys!,415,63,729,1,0,
Pembrokeshire - Get started - School Leads,Thu 15 Sep 2022,62,38,61.29,29,46.77,76.32,FALSE,Get started as a Voice 21 Oracy School!,184,63,200,1,0,
ONE-OFF - Oracy Survey Links - School Leads,Thu 15 Sep 2022,1,1,100,1,100,100,FALSE,It’s time to complete your oracy surveys!,658,1,2,0,0,
Get started as an Oracy Champion with Voice 21!,Wed 14 Sep 2022,24,16,66.67,10,41.67,62.5,FALSE,Get started as an Oracy Champion with Voice 21!,425,24,49,0,0,
Get started as an Oracy Champion with Voice 21!,Wed 14 Sep 2022,1,1,100,1,100,100,FALSE,Get started as an Oracy Champion with Voice 21!,25,1,6,0,0,
Get started as an Oracy Champion with Voice 21!,Wed 14 Sep 2022,1,1,100,0,0,0,FALSE,Get started as an Oracy Champion with Voice 21!,8,1,0,0,0,
Get started as an Oracy Champion with Voice 21!,Wed 14 Sep 2022,1,1,100,0,0,0,FALSE,Get started as an Oracy Champion with Voice 21!,11,1,0,0,0,
OO/OA 14/09/22 TOTM,Wed 14 Sep 2022,3681,1131,30.73,307,8.34,27.14,FALSE,Oracy October is back!,16531,3843,1415,162,9,
OO/OA 14/09/22 VoV21,Wed 14 Sep 2022,825,426,51.64,110,13.33,25.82,FALSE,Oracy October is back!,3309,842,696,17,2,
"Talk on Tuesday: New year, new routines",Tue 13 Sep 2022,916,257,28.06,57,6.22,22.18,FALSE,"Talk on Tuesday: New year, new routines",1180,957,176,41,1,
"Talk on Tuesday: New year, new routines",Tue 13 Sep 2022,1743,862,49.45,402,23.06,46.64,FALSE,"Talk on Tuesday: New year, new routines",5429,1821,1595,78,0,
LW Jan 2023 Cohort - Keeping Warm,Tue 13 Sep 2022,29,21,72.41,15,51.72,71.43,FALSE,Voice 21: getting ready for January,364,30,98,1,0,
Oracy Association Reminder Email,Mon 12 Sep 2022,160,123,76.88,66,41.25,53.66,FALSE,Oracy Association workshops,527,164,121,4,0,
ONE-OFF Rockwell Green - Get started - School Leads,Mon 12 Sep 2022,1,1,100,1,100,100,FALSE,Get started as a Voice 21 Oracy School!,2,1,3,0,0,
Programme Launch reminder - RISE MAT,Fri 09 Sep 2022,15,4,26.67,0,0,0,FALSE,Get ready for your Programme Launch!,12,15,0,0,0,
Oracy Survey Links - Commissioners,Fri 09 Sep 2022,14,4,28.57,2,14.29,50,FALSE,It’s time to complete your oracy surveys!,29,15,5,1,0,
Get started - Commissioners,Fri 09 Sep 2022,14,7,50,5,35.71,71.43,FALSE,Get started as a Voice 21 Oracy School!,63,15,18,1,0,
Central South Consortium - confirmed programme dates,Fri 09 Sep 2022,27,22,81.48,9,33.33,40.91,FALSE,Your group's updated Programme Dates!,329,28,48,1,0,
ARK - Welcome Webinar 5 day reminder,Thu 08 Sep 2022,22,7,31.82,1,4.55,14.29,FALSE,Looking forward to seeing you!,27,22,1,0,1,
Ark - Oracy Survey Links - School Leads,Mon 05 Sep 2022,24,6,25,2,8.33,33.33,FALSE,It’s time to complete your oracy surveys!,30,25,4,1,0,
Ark A/B - Get started - School Leads,Mon 05 Sep 2022,24,7,29.17,0,0,0,FALSE,Get started as a Voice 21 Oracy School!,106,25,0,1,0,
Oracy Association: Call for expression of interest,Mon 05 Sep 2022,824,450,54.61,151,18.33,33.56,FALSE,Oracy Association: Help shape the new Oracy Association,1782,857,464,33,4,
"Dundee, Jersey and new SF additions - Oracy Survey Links - School Leads",Mon 05 Sep 2022,124,73,58.87,57,45.97,78.08,FALSE,It’s time to complete your oracy surveys!,2446,126,746,2,0,
"Dundee, Jersey and new 1st Sept SF additions - Get started - School Leads",Mon 05 Sep 2022,124,61,49.19,33,26.61,54.1,FALSE,Get started as a Voice 21 Oracy School!,518,128,151,4,0,
KW+LW Leads,Mon 05 Sep 2022,166,38,22.89,3,1.81,7.89,FALSE,Time to transform your school with oracy!,78,172,3,6,0,
KW+LW Opps,Mon 05 Sep 2022,49,17,34.69,1,2.04,5.88,FALSE,Plan for oracy and kick-start the school year!,35,49,5,0,1,
Oracy Survey Links - School Leads,Thu 01 Sep 2022,413,283,68.52,224,54.24,79.15,FALSE,It’s time to complete your oracy surveys!,10990,425,5510,12,1,
Get started - School Leads,Thu 01 Sep 2022,413,274,66.34,190,46,69.34,FALSE,Get started as a Voice 21 Oracy School!,6971,426,978,13,0,
